DATETIME,MARKET,SUBMARKET,VENDOR,QCI,KPI,Value
9/27/2020,Florida,South Florida,E,QCI 9,TRAFFIC,1.55191E+12
9/27/2020,Florida,Southwest Florida,E,QCI 6+7+8+9,TRAFFIC,8.52492E+11
9/27/2020,Florida,Southwest Florida,E,QCI 6,TRAFFIC,17716083278
9/27/2020,Florida,Southwest Florida,E,QCI 7,TRAFFIC,60844119484
9/27/2020,Florida,Southwest Florida,E,QCI 8,TRAFFIC,3.37586E+11
9/27/2020,Florida,Southwest Florida,E,QCI 9,TRAFFIC,4.40376E+11
9/27/2020,Florida,Tallahassee,E,QCI 6+7+8+9,TRAFFIC,6.31013E+11
9/27/2020,Florida,Tallahassee,E,QCI 6,TRAFFIC,28052072007
9/27/2020,Florida,Tallahassee,E,QCI 7,TRAFFIC,36947118198
9/27/2020,Florida,Tallahassee,E,QCI 8,TRAFFIC,2.62378E+11
9/27/2020,Florida,Tallahassee,E,QCI 9,TRAFFIC,3.64001E+11
9/27/2020,Florida,Tampa,E,QCI 6+7+8+9,TRAFFIC,1.24658E+12
9/27/2020,Florida,Tampa,E,QCI 6,TRAFFIC,23010530141
9/27/2020,Florida,Tampa,E,QCI 7,TRAFFIC,1.04117E+11
9/27/2020,Florida,Tampa,E,QCI 8,TRAFFIC,4.92579E+11
9/27/2020,Florida,Tampa,E,QCI 9,TRAFFIC,6.30449E+11
9/27/2020,Georgia/South Carolina,Coastal Georgia,E,QCI 6+7+8+9,TRAFFIC,1.06238E+12
9/27/2020,Georgia/South Carolina,Coastal Georgia,E,QCI 6,TRAFFIC,32571761551
9/27/2020,Georgia/South Carolina,Coastal Georgia,E,QCI 7,TRAFFIC,73436773283
9/27/2020,Georgia/South Carolina,Coastal Georgia,E,QCI 8,TRAFFIC,4.98091E+11
9/27/2020,Georgia/South Carolina,Coastal Georgia,E,QCI 9,TRAFFIC,5.69816E+11
9/27/2020,Georgia/South Carolina,Columbia,E,QCI 6+7+8+9,TRAFFIC,1.57484E+12
9/27/2020,Georgia/South Carolina,Columbia,E,QCI 6,TRAFFIC,54805928769
9/27/2020,Georgia/South Carolina,Columbia,E,QCI 7,TRAFFIC,1.24366E+11
9/27/2020,Georgia/South Carolina,Columbia,E,QCI 8,TRAFFIC,7.35397E+11
9/27/2020,Georgia/South Carolina,Columbia,E,QCI 9,TRAFFIC,7.66838E+11
9/27/2020,Georgia/South Carolina,Greenville,E,QCI 6+7+8+9,TRAFFIC,1.12543E+12
9/27/2020,Georgia/South Carolina,Greenville,E,QCI 6,TRAFFIC,49324837573
9/27/2020,Georgia/South Carolina,Greenville,E,QCI 7,TRAFFIC,78651986344
9/27/2020,Georgia/South Carolina,Greenville,E,QCI 8,TRAFFIC,5.13799E+11
9/27/2020,Georgia/South Carolina,Greenville,E,QCI 9,TRAFFIC,5.82522E+11
9/27/2020,Georgia/South Carolina,North Georgia,E,QCI 6+7+8+9,TRAFFIC,4.3092E+12
9/27/2020,Georgia/South Carolina,North Georgia,E,QCI 6,TRAFFIC,1.02719E+11
9/27/2020,Georgia/South Carolina,North Georgia,E,QCI 7,TRAFFIC,3.87098E+11
9/27/2020,Georgia/South Carolina,North Georgia,E,QCI 8,TRAFFIC,1.92706E+12
9/27/2020,Georgia/South Carolina,North Georgia,E,QCI 9,TRAFFIC,2.11143E+12
9/27/2020,Georgia/South Carolina,South Georgia,E,QCI 6+7+8+9,TRAFFIC,9.53158E+11
9/27/2020,Georgia/South Carolina,South Georgia,E,QCI 6,TRAFFIC,31631192130
9/27/2020,Georgia/South Carolina,South Georgia,E,QCI 7,TRAFFIC,55265630258
9/27/2020,Georgia/South Carolina,South Georgia,E,QCI 8,TRAFFIC,5.95835E+11
9/27/2020,Georgia/South Carolina,South Georgia,E,QCI 9,TRAFFIC,5.23692E+11
9/27/2020,Greater Midwest,Kansas City KS,N,QCI 6+7+8+9,TRAFFIC,3.69345E+12
9/27/2020,Greater Midwest,Kansas City KS,N,QCI 6,TRAFFIC,90730928634
9/27/2020,Greater Midwest,Kansas City KS,N,QCI 7,TRAFFIC,2.90062E+11
9/27/2020,Greater Midwest,Kansas City KS,N,QCI 8,TRAFFIC,1.52898E+12
9/27/2020,Greater Midwest,Kansas City KS,N,QCI 9,TRAFFIC,1.89077E+12
9/27/2020,Greater Midwest,St. Louis MO,N,QCI 6+7+8+9,TRAFFIC,4.06617E+12
9/27/2020,Greater Midwest,St. Louis MO,N,QCI 6,TRAFFIC,89688801028
9/27/2020,Greater Midwest,St. Louis MO,N,QCI 7,TRAFFIC,3.62265E+11
9/27/2020,Greater Midwest,St. Louis MO,N,QCI 8,TRAFFIC,1.70565E+12
9/27/2020,Greater Midwest,St. Louis MO,N,QCI 9,TRAFFIC,1.92005E+12
9/27/2020,Gulf States,Baton Rouge,E,QCI 6+7+8+9,TRAFFIC,1.24325E+12
9/27/2020,Gulf States,Baton Rouge,E,QCI 6,TRAFFIC,28544039301
9/27/2020,Gulf States,Baton Rouge,E,QCI 7,TRAFFIC,1.26529E+11
9/27/2020,Gulf States,Baton Rouge,E,QCI 8,TRAFFIC,5.1286E+11
9/27/2020,Gulf States,Baton Rouge,E,QCI 9,TRAFFIC,6.21609E+11
9/27/2020,Gulf States,Birmingham,E,QCI 6+7+8+9,TRAFFIC,2.01893E+12
9/27/2020,Gulf States,Birmingham,E,QCI 6,TRAFFIC,73564224471
9/27/2020,Gulf States,Birmingham,E,QCI 7,TRAFFIC,1.38412E+11
9/27/2020,Gulf States,Birmingham,E,QCI 8,TRAFFIC,9.1473E+11
9/27/2020,Gulf States,Birmingham,E,QCI 9,TRAFFIC,1.09284E+12
9/27/2020,Gulf States,Huntsville,E,QCI 6+7+8+9,TRAFFIC,7.82843E+11
9/27/2020,Gulf States,Huntsville,E,QCI 6,TRAFFIC,24117022008
9/27/2020,Gulf States,Huntsville,E,QCI 7,TRAFFIC,51330092270
9/27/2020,Gulf States,Huntsville,E,QCI 8,TRAFFIC,3.35514E+11
9/27/2020,Gulf States,Huntsville,E,QCI 9,TRAFFIC,4.32973E+11
9/27/2020,Gulf States,Jackson MS,E,QCI 6+7+8+9,TRAFFIC,3.1295E+12
9/27/2020,Gulf States,Jackson MS,E,QCI 6,TRAFFIC,1.06089E+11
9/27/2020,Gulf States,Jackson MS,E,QCI 7,TRAFFIC,2.35266E+11
9/27/2020,Gulf States,Jackson MS,E,QCI 8,TRAFFIC,1.99517E+12
9/27/2020,Gulf States,Jackson MS,E,QCI 9,TRAFFIC,1.62713E+12
9/27/2020,Gulf States,Lafayette,E,QCI 6+7+8+9,TRAFFIC,2.45909E+12
9/27/2020,Gulf States,Lafayette,E,QCI 6,TRAFFIC,1.44238E+11
9/27/2020,Gulf States,Lafayette,E,QCI 7,TRAFFIC,2.80442E+11
9/27/2020,Gulf States,Lafayette,E,QCI 8,TRAFFIC,9.81229E+11
9/27/2020,Gulf States,Lafayette,E,QCI 9,TRAFFIC,1.09672E+12
9/27/2020,Gulf States,Mobile,E,QCI 6+7+8+9,TRAFFIC,1.38554E+12
9/27/2020,Gulf States,Mobile,E,QCI 6,TRAFFIC,43534241374
9/27/2020,Gulf States,Mobile,E,QCI 7,TRAFFIC,1.10083E+11
9/27/2020,Gulf States,Mobile,E,QCI 8,TRAFFIC,6.25867E+11
9/27/2020,Gulf States,Mobile,E,QCI 9,TRAFFIC,6.58474E+11
9/27/2020,Gulf States,Montgomery,E,QCI 6+7+8+9,TRAFFIC,6.19258E+11
9/27/2020,Gulf States,Montgomery,E,QCI 6,TRAFFIC,22960279650
9/27/2020,Gulf States,Montgomery,E,QCI 7,TRAFFIC,42151929466
9/27/2020,Gulf States,Montgomery,E,QCI 8,TRAFFIC,3.23897E+11
9/27/2020,Gulf States,Montgomery,E,QCI 9,TRAFFIC,3.2791E+11
9/27/2020,Gulf States,New Orleans,E,QCI 6+7+8+9,TRAFFIC,1.55017E+12
9/27/2020,Gulf States,New Orleans,E,QCI 6,TRAFFIC,52080387628
9/27/2020,Gulf States,New Orleans,E,QCI 7,TRAFFIC,1.40793E+11
9/27/2020,Gulf States,New Orleans,E,QCI 8,TRAFFIC,6.38427E+11
9/27/2020,Gulf States,New Orleans,E,QCI 9,TRAFFIC,7.83163E+11
9/27/2020,Gulf States,Shreveport,E,QCI 6+7+8+9,TRAFFIC,2.0101E+12
9/27/2020,Gulf States,Shreveport,E,QCI 6,TRAFFIC,79880946974
9/27/2020,Gulf States,Shreveport,E,QCI 7,TRAFFIC,1.65807E+11
9/27/2020,Gulf States,Shreveport,E,QCI 8,TRAFFIC,1.16149E+12
9/27/2020,Gulf States,Shreveport,E,QCI 9,TRAFFIC,9.76622E+11
9/27/2020,Hawaii,Hawaii,E,QCI 6+7+8+9,TRAFFIC,7.02367E+11
9/27/2020,Hawaii,Hawaii,E,QCI 6,TRAFFIC,12729958985
9/27/2020,Hawaii,Hawaii,E,QCI 7,TRAFFIC,73377948314
9/27/2020,Hawaii,Hawaii,E,QCI 8,TRAFFIC,2.63576E+11
9/27/2020,Hawaii,Hawaii,E,QCI 9,TRAFFIC,3.5737E+11
9/27/2020,Illinois/Wisconsin,Central Illinois,E,QCI 6+7+8+9,TRAFFIC,1.20568E+12
9/27/2020,Illinois/Wisconsin,Central Illinois,E,QCI 6,TRAFFIC,25406289743
9/27/2020,Illinois/Wisconsin,Central Illinois,E,QCI 7,TRAFFIC,1.22479E+11
9/27/2020,Illinois/Wisconsin,Central Illinois,E,QCI 8,TRAFFIC,5.95314E+11
9/27/2020,Illinois/Wisconsin,Central Illinois,E,QCI 9,TRAFFIC,5.72641E+11
9/27/2020,Illinois/Wisconsin,Chicago,E,QCI 6+7+8+9,TRAFFIC,4.46337E+12
9/27/2020,Illinois/Wisconsin,Chicago,E,QCI 6,TRAFFIC,70178528382
9/27/2020,Illinois/Wisconsin,Chicago,E,QCI 7,TRAFFIC,4.27227E+11
9/27/2020,Illinois/Wisconsin,Chicago,E,QCI 8,TRAFFIC,1.91417E+12
9/27/2020,Illinois/Wisconsin,Chicago,E,QCI 9,TRAFFIC,2.07666E+12
9/27/2020,Illinois/Wisconsin,Wisconsin,E,QCI 6+7+8+9,TRAFFIC,1.77649E+12
9/27/2020,Illinois/Wisconsin,Wisconsin,E,QCI 6,TRAFFIC,31102577534
9/27/2020,Illinois/Wisconsin,Wisconsin,E,QCI 7,TRAFFIC,1.47974E+11
9/27/2020,Illinois/Wisconsin,Wisconsin,E,QCI 8,TRAFFIC,8.73987E+11
9/27/2020,Illinois/Wisconsin,Wisconsin,E,QCI 9,TRAFFIC,8.34787E+11
9/27/2020,Los Angeles,Los Angeles,E,QCI 6+7+8+9,TRAFFIC,8.63239E+12
9/27/2020,Los Angeles,Los Angeles,E,QCI 6,TRAFFIC,1.42997E+11
9/27/2020,Los Angeles,Los Angeles,E,QCI 7,TRAFFIC,8.33336E+11
9/27/2020,Los Angeles,Los Angeles,E,QCI 8,TRAFFIC,3.67156E+12
9/27/2020,Los Angeles,Los Angeles,E,QCI 9,TRAFFIC,4.0403E+12
9/27/2020,Michigan/Indiana,Detroit,N,QCI 6+7+8+9,TRAFFIC,1.76159E+12
9/27/2020,Michigan/Indiana,Detroit,N,QCI 6,TRAFFIC,33132413160
9/27/2020,Michigan/Indiana,Detroit,N,QCI 7,TRAFFIC,1.83648E+11
9/27/2020,Michigan/Indiana,Detroit,N,QCI 8,TRAFFIC,7.68945E+11
9/27/2020,Michigan/Indiana,Detroit,N,QCI 9,TRAFFIC,8.40527E+11
9/27/2020,Michigan/Indiana,Indianapolis,E,QCI 6+7+8+9,TRAFFIC,2.56581E+12
9/27/2020,Michigan/Indiana,Indianapolis,E,QCI 6,TRAFFIC,53569943726
9/27/2020,Michigan/Indiana,Indianapolis,E,QCI 7,TRAFFIC,2.33255E+11
9/27/2020,Michigan/Indiana,Indianapolis,E,QCI 8,TRAFFIC,1.24998E+12
9/27/2020,Michigan/Indiana,Indianapolis,E,QCI 9,TRAFFIC,1.27269E+12
9/27/2020,Michigan/Indiana,Northern MI,N,QCI 6+7+8+9,TRAFFIC,1.23597E+12
9/27/2020,Michigan/Indiana,Northern MI,N,QCI 6,TRAFFIC,32563199615
9/27/2020,Michigan/Indiana,Northern MI,N,QCI 7,TRAFFIC,1.04392E+11
9/27/2020,Michigan/Indiana,Northern MI,N,QCI 8,TRAFFIC,6.84383E+11
9/27/2020,Michigan/Indiana,Northern MI,N,QCI 9,TRAFFIC,5.70422E+11
9/27/2020,Michigan/Indiana,Outstate MI,N,QCI 6+7+8+9,TRAFFIC,2.16949E+12
9/27/2020,Michigan/Indiana,Outstate MI,N,QCI 6,TRAFFIC,41772119860
9/27/2020,Michigan/Indiana,Outstate MI,N,QCI 7,TRAFFIC,1.74807E+11
9/27/2020,Michigan/Indiana,Outstate MI,N,QCI 8,TRAFFIC,9.73158E+11
9/27/2020,Michigan/Indiana,Outstate MI,N,QCI 9,TRAFFIC,1.11943E+12
9/27/2020,NY/NNJ,NYC East,N,QCI 6+7+8+9,TRAFFIC,2.99437E+12
9/27/2020,NY/NNJ,NYC East,N,QCI 6,TRAFFIC,89346917877
9/27/2020,NY/NNJ,NYC East,N,QCI 7,TRAFFIC,3.01374E+11
9/27/2020,NY/NNJ,NYC East,N,QCI 8,TRAFFIC,1.11121E+12
9/27/2020,NY/NNJ,NYC East,N,QCI 9,TRAFFIC,1.49244E+12
9/27/2020,NY/NNJ,NYC Manhattan,N,QCI 6+7+8+9,TRAFFIC,7.13182E+11
9/27/2020,NY/NNJ,NYC Manhattan,N,QCI 6,TRAFFIC,21108855336
9/27/2020,NY/NNJ,NYC Manhattan,N,QCI 7,TRAFFIC,75093297382
9/27/2020,NY/NNJ,NYC Manhattan,N,QCI 8,TRAFFIC,3.10125E+11
9/27/2020,NY/NNJ,NYC Manhattan,N,QCI 9,TRAFFIC,3.06856E+11
9/27/2020,NY/NNJ,NYC West,N,QCI 6+7+8+9,TRAFFIC,2.65034E+12
9/27/2020,NY/NNJ,NYC West,N,QCI 6,TRAFFIC,78404799046
9/27/2020,NY/NNJ,NYC West,N,QCI 7,TRAFFIC,2.56687E+11
9/27/2020,NY/NNJ,NYC West,N,QCI 8,TRAFFIC,1.05489E+12
9/27/2020,NY/NNJ,NYC West,N,QCI 9,TRAFFIC,1.26035E+12
9/27/2020,NY/NNJ,Upstate NY,E,QCI 6+7+8+9,TRAFFIC,2.28294E+12
9/27/2020,NY/NNJ,Upstate NY,E,QCI 6,TRAFFIC,56533919560
9/27/2020,NY/NNJ,Upstate NY,E,QCI 7,TRAFFIC,1.81248E+11
9/27/2020,NY/NNJ,Upstate NY,E,QCI 8,TRAFFIC,9.30862E+11
9/27/2020,NY/NNJ,Upstate NY,E,QCI 9,TRAFFIC,1.12712E+12
9/27/2020,New England,Connecticut,E,QCI 6+7+8+9,TRAFFIC,1.29208E+12
9/27/2020,New England,Connecticut,E,QCI 6,TRAFFIC,29961900851
9/27/2020,New England,Connecticut,E,QCI 7,TRAFFIC,1.40418E+11
9/27/2020,New England,Connecticut,E,QCI 8,TRAFFIC,5.20929E+11
9/27/2020,New England,Connecticut,E,QCI 9,TRAFFIC,6.04757E+11
9/27/2020,New England,Maine,E,QCI 6+7+8+9,TRAFFIC,2.88654E+11
9/27/2020,New England,Maine,E,QCI 6,TRAFFIC,7244354161
9/27/2020,New England,Maine,E,QCI 7,TRAFFIC,27381484052
9/27/2020,New England,Maine,E,QCI 8,TRAFFIC,1.47979E+11
9/27/2020,New England,Maine,E,QCI 9,TRAFFIC,1.10743E+11
9/27/2020,New England,Massachusetts,E,QCI 6+7+8+9,TRAFFIC,1.77423E+12
9/27/2020,New England,Massachusetts,E,QCI 6,TRAFFIC,35119655773
9/27/2020,New England,Massachusetts,E,QCI 7,TRAFFIC,1.71698E+11
9/27/2020,New England,Massachusetts,E,QCI 8,TRAFFIC,7.85308E+11
9/27/2020,New England,Massachusetts,E,QCI 9,TRAFFIC,7.94347E+11
9/27/2020,New England,New Hampshire,E,QCI 6+7+8+9,TRAFFIC,2.61472E+11
9/27/2020,New England,New Hampshire,E,QCI 6,TRAFFIC,6229961526
9/27/2020,New England,New Hampshire,E,QCI 7,TRAFFIC,24759668270
9/27/2020,New England,New Hampshire,E,QCI 8,TRAFFIC,1.31142E+11
9/27/2020,New England,New Hampshire,E,QCI 9,TRAFFIC,1.0116E+11
9/27/2020,New England,Rhode Island,E,QCI 6+7+8+9,TRAFFIC,2.70968E+11
9/27/2020,New England,Rhode Island,E,QCI 6,TRAFFIC,7920219195
9/27/2020,New England,Rhode Island,E,QCI 7,TRAFFIC,27499953430
9/27/2020,New England,Rhode Island,E,QCI 8,TRAFFIC,1.14918E+11
9/27/2020,New England,Rhode Island,E,QCI 9,TRAFFIC,1.21196E+11
9/27/2020,New England,Vermont,E,QCI 6+7+8+9,TRAFFIC,1.88383E+11
9/27/2020,New England,Vermont,E,QCI 6,TRAFFIC,5600384304
9/27/2020,New England,Vermont,E,QCI 7,TRAFFIC,17754225780
9/27/2020,New England,Vermont,E,QCI 8,TRAFFIC,94128455102
9/27/2020,New England,Vermont,E,QCI 9,TRAFFIC,71554497913
9/27/2020,North Texas,Central Texas,E,QCI 6+7+8+9,TRAFFIC,2.84398E+12
9/27/2020,North Texas,Central Texas,E,QCI 6,TRAFFIC,46237539783
9/27/2020,North Texas,Central Texas,E,QCI 7,TRAFFIC,2.21067E+11
9/27/2020,North Texas,Central Texas,E,QCI 8,TRAFFIC,1.30285E+12
9/27/2020,North Texas,Central Texas,E,QCI 9,TRAFFIC,1.42052E+12
9/27/2020,North Texas,Dallas Ft. Worth,E,QCI 6+7+8+9,TRAFFIC,7.68131E+12
9/27/2020,North Texas,Dallas Ft. Worth,E,QCI 6,TRAFFIC,1.33441E+11
9/27/2020,North Texas,Dallas Ft. Worth,E,QCI 7,TRAFFIC,6.86519E+11
9/27/2020,North Texas,Dallas Ft. Worth,E,QCI 8,TRAFFIC,3.33651E+12
9/27/2020,North Texas,Dallas Ft. Worth,E,QCI 9,TRAFFIC,3.57229E+12
9/27/2020,North Texas,El Paso,E,QCI 6+7+8+9,TRAFFIC,7.13635E+11
9/27/2020,North Texas,El Paso,E,QCI 6,TRAFFIC,12248682855
9/27/2020,North Texas,El Paso,E,QCI 7,TRAFFIC,44995443073
9/27/2020,North Texas,El Paso,E,QCI 8,TRAFFIC,2.56773E+11
9/27/2020,North Texas,El Paso,E,QCI 9,TRAFFIC,4.05615E+11
9/27/2020,North Texas,West Texas,E,QCI 6+7+8+9,TRAFFIC,2.41843E+12
9/27/2020,North Texas,West Texas,E,QCI 6,TRAFFIC,35044345941
9/27/2020,North Texas,West Texas,E,QCI 7,TRAFFIC,1.8173E+11
9/27/2020,North Texas,West Texas,E,QCI 8,TRAFFIC,9.46373E+11
9/27/2020,North Texas,West Texas,E,QCI 9,TRAFFIC,1.27456E+12
9/27/2020,Northern California,Sacramento,E,QCI 6+7+8+9,TRAFFIC,5.62189E+12
9/27/2020,Northern California,Sacramento,E,QCI 6,TRAFFIC,1.24625E+11
9/27/2020,Northern California,Sacramento,E,QCI 7,TRAFFIC,4.85185E+11
9/27/2020,Northern California,Sacramento,E,QCI 8,TRAFFIC,2.52626E+12
9/27/2020,Northern California,Sacramento,E,QCI 9,TRAFFIC,2.7537E+12
9/27/2020,Northern California,San Francisco,E,QCI 6+7+8+9,TRAFFIC,4.08873E+12
9/27/2020,Northern California,San Francisco,E,QCI 6,TRAFFIC,78146939457
9/27/2020,Northern California,San Francisco,E,QCI 7,TRAFFIC,3.78805E+11
9/27/2020,Northern California,San Francisco,E,QCI 8,TRAFFIC,2.01643E+12
9/27/2020,Northern California,San Francisco,E,QCI 9,TRAFFIC,1.69003E+12
9/27/2020,Northern Plains,Iowa,N,QCI 6+7+8+9,TRAFFIC,8.656E+11
9/27/2020,Northern Plains,Iowa,N,QCI 6,TRAFFIC,16383599433
9/27/2020,Northern Plains,Iowa,N,QCI 7,TRAFFIC,67827061604
9/27/2020,Northern Plains,Iowa,N,QCI 8,TRAFFIC,3.39146E+11
9/27/2020,Northern Plains,Iowa,N,QCI 9,TRAFFIC,4.44894E+11
9/27/2020,Northern Plains,Minnesota,N,QCI 6+7+8+9,TRAFFIC,2.21955E+12
9/27/2020,Northern Plains,Minnesota,N,QCI 6,TRAFFIC,51447029362
9/27/2020,Northern Plains,Minnesota,N,QCI 7,TRAFFIC,2.14256E+11
9/27/2020,Northern Plains,Minnesota,N,QCI 8,TRAFFIC,1.03165E+12
9/27/2020,Northern Plains,Minnesota,N,QCI 9,TRAFFIC,9.40329E+11
9/27/2020,Northern Plains,Nebraska,N,QCI 6+7+8+9,TRAFFIC,3.68371E+11
9/27/2020,Northern Plains,Nebraska,N,QCI 6,TRAFFIC,5975352287
9/27/2020,Northern Plains,Nebraska,N,QCI 7,TRAFFIC,26160000827
9/27/2020,Northern Plains,Nebraska,N,QCI 8,TRAFFIC,1.51891E+11
9/27/2020,Northern Plains,Nebraska,N,QCI 9,TRAFFIC,1.84344E+11
9/27/2020,Northern Plains,North Dakota,N,QCI 6+7+8+9,TRAFFIC,3.38371E+11
9/27/2020,Northern Plains,North Dakota,N,QCI 6,TRAFFIC,4847402781
9/27/2020,Northern Plains,North Dakota,N,QCI 7,TRAFFIC,26757649573
9/27/2020,Northern Plains,North Dakota,N,QCI 8,TRAFFIC,1.47769E+11
9/27/2020,Northern Plains,North Dakota,N,QCI 9,TRAFFIC,1.58997E+11
9/27/2020,Northern Plains,South Dakota,N,QCI 6+7+8+9,TRAFFIC,4.97889E+11
9/27/2020,Northern Plains,South Dakota,N,QCI 6,TRAFFIC,14772516722
9/27/2020,Northern Plains,South Dakota,N,QCI 7,TRAFFIC,31361205225
9/27/2020,Northern Plains,South Dakota,N,QCI 8,TRAFFIC,2.42799E+11
9/27/2020,Northern Plains,South Dakota,N,QCI 9,TRAFFIC,2.08956E+11
9/27/2020,Ohio/Western Pennsylvania,Northern OH,N,QCI 6+7+8+9,TRAFFIC,2.41281E+12
9/27/2020,Ohio/Western Pennsylvania,Northern OH,N,QCI 6,TRAFFIC,49337848838
9/27/2020,Ohio/Western Pennsylvania,Northern OH,N,QCI 7,TRAFFIC,2.10399E+11
